pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,sy_dist
"Kepler-537 b","Kepler-537","Transit",2016,3.24755521900,1.41000000,2.57000000,0.0431700000,1181.00,5763.00,0.990000,1.070000,439.40000000
"TOI-2285 b","TOI-2285","Transit",2021,13.63510900000,1.77000000,19.50000000,0.1363000000,358.00,3491.00,0.464000,0.454000,42.40900000
"BD+45 564 b","BD+45 564","Radial Velocity",2021,307.88000000000,13.60000000,432.24663352,0.8300000000,238.82,5004.00,0.813064,0.810000,53.62200000
"K2-170 b","K2-170","Transit",2018,7.57654400000,1.41817537,2.60000000,,,5748.00,0.981614,0.963657,392.87200000
"Kepler-1069 b","Kepler-1069","Transit",2016,23.89902960000,1.60000000,3.19000000,0.1658700000,823.00,5722.00,0.980000,0.990000,695.96700000
"Kepler-558 b","Kepler-558","Transit",2016,29.00790538000,2.37000000,6.21000000,0.1759000000,498.00,5242.00,0.810000,0.850000,661.87600000
"Kepler-315 c","Kepler-315","Transit",2014,265.46933500000,4.15000000,16.10000000,0.7910000000,291.00,5796.00,1.037000,0.831000,1160.63000000
"Kepler-997 b","Kepler-997","Transit",2016,2.70730671600,1.36000000,2.42000000,0.0402200000,1709.00,6150.00,1.560000,1.220000,467.56800000
"HD 215152 b","HD 215152","Radial Velocity",2018,5.75999000000,,565.41673605,0.0576380000,846.89,4935.00,0.730000,0.770000,21.59740000
"Kepler-635 b","Kepler-635","Transit",2016,23.44971004000,2.64000000,7.46000000,0.1833200000,802.00,6174.00,1.510000,1.330000,1141.08000000
"OGLE-2018-BLG-0532L b","OGLE-2018-BLG-0532L","Microlensing",2020,,2.37000000,6.22800000,1.0640000000,,,,0.195000,773.00000000
"Kepler-575 b","Kepler-575","Transit",2016,9.37891944000,2.39000000,6.30000000,0.0788000000,803.00,5710.00,0.950000,0.970000,853.97700000
"Kepler-1848 b","Kepler-1848","Transit",2021,5.60402011900,1.40885390,2.57000000,0.0583500000,774.00,4847.00,0.737000,0.756000,309.69600000
"Kepler-80 b","Kepler-80","Transit",2012,7.05246000000,2.67000000,6.93000000,0.0648000000,547.00,4540.00,0.678000,0.730000,369.45100000
"Kepler-748 b","Kepler-748","Transit",2016,7.40742793000,2.52000000,6.90000000,0.0745000000,938.00,5934.00,1.100000,1.070000,1705.99000000
"K2-266 b","K2-266","Transit",2018,0.65852400000,3.30000000,11.26782377,0.0130600000,1515.00,4285.00,0.703000,0.686000,77.55860000
"Kepler-1268 b","Kepler-1268","Transit",2016,40.99039860000,2.03000000,4.78000000,0.2383000000,627.00,5904.00,1.090000,1.060000,1840.77000000
"Kepler-1525 b","Kepler-1525","Transit",2016,2.41660118300,0.91000000,0.69300000,0.0355700000,1343.00,5748.00,1.040000,1.070000,382.98900000
"GJ 163 b","GJ 163","Radial Velocity",2013,8.63182000000,3.25000000,10.60000000,0.0607000000,438.49,3500.00,0.409738,0.400000,15.12850000
"HAT-P-21 b","HAT-P-21","Transit",2010,4.12448000000,12.44199000,1547.83210000,0.0503700000,1367.00,5588.00,1.210000,1.240000,277.27800000
"TOI-1272 b","TOI-1272","Transit",2022,3.31597650000,4.26000000,24.10000000,0.0410000000,1051.00,4985.00,0.800000,0.828000,137.57200000
"HD 73526 b","HD 73526","Radial Velocity",2002,188.30000000000,13.10000000,978.91640000,0.6500000000,414.37,5601.00,1.530000,1.140000,97.23960000
"HD 95127 b","HD 95127","Radial Velocity",2015,482.00000000000,12.40000000,3378.53290000,1.2800000000,1151.28,4218.00,41.010000,3.700000,676.57900000
"Kepler-1915 b","Kepler-1915","Transit",2021,13.83539963000,3.21798413,10.40000000,0.1140000000,809.00,6020.00,1.057000,1.030000,1514.66000000
"Kepler-1198 b","Kepler-1198","Transit",2016,7.68477160000,1.47000000,2.76000000,0.0732000000,830.00,5517.00,0.900000,0.930000,743.03000000
"Kepler-1576 b","Kepler-1576","Transit",2016,6.98471973000,1.04000000,1.12000000,0.0721100000,1059.00,5876.00,1.060000,1.050000,460.91000000
"Kepler-255 b","Kepler-255","Transit",2014,5.71460600000,1.55000000,3.02000000,0.0630000000,971.00,5573.00,0.933000,0.867000,1052.53000000
"Kepler-1348 b","Kepler-1348","Transit",2016,27.57227420000,1.94000000,4.42000000,0.1834000000,636.00,5911.00,1.040000,1.040000,1213.82000000
"TOI-251 b","TOI-251","Transit",2021,4.93777000000,2.74000000,317.83000000,0.0574100000,1041.19,5875.00,0.881000,1.036000,99.52300000
"Kepler-310 b","Kepler-310","Transit",2014,13.93069800000,1.19000000,1.81000000,0.1110000000,665.00,5797.00,0.876000,0.854000,602.26800000
"KELT-19 A b","KELT-19 A","Transit",2017,4.61170930000,21.40919000,1293.56810000,0.0637000000,1935.00,7500.00,1.830000,1.620000,300.27600000
"Kepler-337 b","Kepler-337","Transit",2014,3.29278100000,1.54000000,2.99000000,0.0450000000,1458.00,5684.00,1.761000,1.081000,677.97500000
"Kepler-709 b","Kepler-709","Transit",2016,16.08524954000,2.92000000,8.85000000,0.1173000000,613.00,5071.00,0.770000,0.800000,664.84300000
"K2-21 b","K2-21","Transit",2015,9.32503800000,1.84000000,4.04000000,0.0760000000,500.00,4222.06,0.646783,0.676023,83.64480000
